HITS RANK
lodash - 1
chalk - 0.5470270042725979
request - 0.3558175493946339
commander - 0.3432233380464914
fs-extra - 0.332919273281265
express - 0.30761113182783745
webpack - 0.28535498801523107
async - 0.28019574230276256
react - 0.2730197732039711
babel-core - 0.26936915721075066
babel-loader - 0.24964224383522832
css-loader - 0.23244255217063547
react-dom - 0.22044535432738083
style-loader - 0.2168967144828222
bluebird - 0.21655867695445127
moment - 0.21420606950112953
file-loader - 0.20517890179017947
debug - 0.2024064062506375
url-loader - 0.18578511763908362
extract-text-webpack-plugin - 0.17730291853582048
babel-runtime - 0.17400188105785958
postcss-loader - 0.17396648034893905
mkdirp - 0.171901569274372
webpack-dev-server - 0.17150353355535014
autoprefixer - 0.17108877707579334
html-webpack-plugin - 0.1709835675559754
body-parser - 0.1624036900560769
glob - 0.16238723674076427
eslint - 0.1599613972496932
babel-eslint - 0.15085993555754634
dotenv - 0.14000176156214791
object-assign - 0.13693190830792445
eslint-plugin-react - 0.13263228682837086
inquirer - 0.13202975252899213
promise - 0.12717256642549127
eslint-plugin-import - 0.1254306802321589
whatwg-fetch - 0.12312753040149528
colors - 0.11995545975697999
eslint-loader - 0.11729173516825725
yargs - 0.11666944588471906
jest - 0.11626642821950718
babel-preset-es2015 - 0.11430686562138843
case-sensitive-paths-webpack-plugin - 0.11414068840482604
eslint-plugin-jsx-a11y - 0.11318227676738946
react-dev-utils - 0.11156913997295678
babel-jest - 0.11011212280968047
rimraf - 0.1076009929540573
babel-preset-react - 0.10460441614157762
underscore - 0.10452026755424466
webpack-manifest-plugin - 0.10402542332530643
eslint-plugin-flowtype - 0.10017900679975437
prop-types - 0.09870578616999837
minimist - 0.0970875721152739
semver - 0.09621191070116446
babel-preset-react-app - 0.09483495458442523
node-sass - 0.09198475207800592
yeoman-generator - 0.09186242437582283
postcss-flexbugs-fixes - 0.09176892801873249
eslint-config-react-app - 0.08922715125735131
sass-loader - 0.08602680049474976
sw-precache-webpack-plugin - 0.08557439799158555
babel-polyfill - 0.08472439038317588
redux - 0.08208371977156771
uuid - 0.0812090487190483
shelljs - 0.0775106578292615
react-redux - 0.07484976553901039
q - 0.07331944032442621
less - 0.07075927396793641
classnames - 0.07055632883438322
babel-preset-env - 0.06944953539095593
cheerio - 0.06919194373280899
js-yaml - 0.06844204075144511
axios - 0.06786886196002315
gulp - 0.0678010982306453
morgan - 0.06729160212432263
raf - 0.06708273963044527
babel-preset-stage-0 - 0.06563984527444591
fsevents - 0.0655755840802781
winston - 0.06415094808429786
cookie-parser - 0.06353258415161622
yosay - 0.06315977837912347
ora - 0.061168137600206285
json-loader - 0.059261256662805274
babel-plugin-transform-runtime - 0.0591471386157025
handlebars - 0.05907352226080694
through2 - 0.058771203225524885
socket.io - 0.05779955081516042
less-loader - 0.057587133968298454
react-router - 0.05702799821837702
ejs - 0.056480677912193605
cross-spawn - 0.056406799317879196
mocha - 0.0538077532857269
chokidar - 0.05344345019436506
dotenv-expand - 0.053158562366576734
jquery - 0.05276513484975258
resolve - 0.05206360248619694
gulp-util - 0.051324627246306875
compression - 0.050907399561170526
babel-cli - 0.04982546132482086
rxjs - 0.04790357469633627
typescript - 0.04430889094214841

PAGERANK
lodash - 0.01514058049719204
request - 0.0070847242032327
debug - 0.005676605730793206
ms - 0.005125910497960578
chalk - 0.00489267207801111
object-assign - 0.00489152182016439
minimist - 0.004676476546716763
commander - 0.004397958190578226
async - 0.003954447273116653
underscore - 0.003930371246926555
prop-types - 0.003921768367638041
loose-envify - 0.003708979423585102
express - 0.0035349485659601
react - 0.003291577724862228
js-tokens - 0.003178891095361057
bluebird - 0.003130587396736703
babel-runtime - 0.003072159926649285
glob - 0.002944090031189062
moment - 0.0027715059550003397
tslib - 0.0027296161367107307
safe-buffer - 0.00269775959112364
jquery - 0.002563362281215466
readable-stream - 0.002480463425312734
inherits - 0.0024685403915845447
mkdirp - 0.002366212799498683
colors - 0.0023638921524370693
vue - 0.0022853482452122706
through2 - 0.0021129975982866808
yeoman-generator - 0.002054891442469275
nan - 0.001973173914114397
core-js - 0.0019360880582383931
supports-color - 0.0018115033148335606
escape-string-regexp - 0.0017149312502138343
source-map - 0.0016994587391633664
semver - 0.001690346049143889
fs-extra - 0.0016412773959041524
xtend - 0.0016410667150587065
uuid - 0.0016398473960761413
ember-cli-babel - 0.001603506049547738
axios - 0.0016014398556749778
ansi-styles - 0.0015738758345996324
has-flag - 0.0015473004596351404
